count,rocblas-bench command
105600,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 1024 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
96000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
96000,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 1024 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
50400,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA T --transposeB N -m 128 -n 128 -k 64 --alpha 1 --lda 64 --stride_a 8192 --ldb 64 --stride_b 8192 --beta 0 --ldc 128 --stride_c 16384 --batch_count 128
50400,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB N -m 64 -n 128 -k 128 --alpha 1 --lda 64 --stride_a 8192 --ldb 128 --stride_b 16384 --beta 0 --ldc 64 --stride_c 8192 --batch_count 128
48000,./rocblas-bench -f gemm_strided_batched -r f32_r --transposeA N --transposeB T -m 64 -n 128 -k 128 --alpha 1 --lda 64 --stride_a 8192 --ldb 128 --stride_b 16384 --beta 0 --ldc 64 --stride_c 8192 --batch_count 128
26400,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 4096 -n 1024 -k 1024 --alpha 1 --lda 4096 --ldb 1024 --beta 0 --ldc 4096
26400,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 1024 -k 4096 --alpha 1 --lda 1024 --ldb 4096 --beta 0 --ldc 1024
24000,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 4096 -n 1024 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 4096
24000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 4096 -n 1024 -k 1024 --alpha 1 --lda 4096 --ldb 1024 --beta 0 --ldc 4096
24000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 4096 -k 1024 --alpha 1 --lda 1024 --ldb 4096 --beta 0 --ldc 1024
24000,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 1024 -k 4096 --alpha 1 --lda 4096 --ldb 4096 --beta 0 --ldc 1024
1100,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 1024 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1100,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 2 -n 8 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 2
1100,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 160 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1100,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 8 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1100,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 30522 -n 160 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 30522
1000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 30522 -k 160 --alpha 1 --lda 1024 --ldb 30522 --beta 0 --ldc 1024
1000,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 160 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1000,./rocblas-bench -f gemm -r f32_r --transposeA T --transposeB N -m 1024 -n 8 -k 1024 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 160 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 160 -k 30522 --alpha 1 --lda 1024 --ldb 30522 --beta 0 --ldc 1024
1000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 1024 -k 8 --alpha 1 --lda 1024 --ldb 1024 --beta 0 --ldc 1024
1000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB N -m 1024 -n 8 -k 2 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 2 -k 1024 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
1000,./rocblas-bench -f gemm -r f32_r --transposeA N --transposeB T -m 1024 -n 2 -k 8 --alpha 1 --lda 1024 --ldb 2 --beta 0 --ldc 1024
